,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b1,b2,b3,sigma,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20],mu[21],mu[22],mu[23],mu[24],mu[25],mu[26],mu[27],mu[28],mu[29],mu[30]
0,42.5144,0.894718,0.621484,3.0,7.0,0.0,-38.7535,0.013507,0.79827,0.725463,0.150638,0.639435,0.496411,0.231526,-0.240069,1.23419,0.522937,-0.494813,0.26372,0.890599,-1.14314,0.465059,-0.41999,0.301038,-1.14734,-2.05739,0.0660072,0.502915,1.50898,-0.0104144,-1.11202,0.468372,-0.0826262,1.0957,-1.76662,-0.963181,1.69173,-0.991487,-0.910186,0.823304,0.542562
1,45.0059,0.991245,0.621484,2.0,3.0,0.0,-42.1273,-0.00264973,0.842852,0.750312,0.146939,0.645036,0.495428,0.250241,-0.292597,1.26233,0.542347,-0.518411,0.267466,0.931309,-1.21087,0.462833,-0.465418,0.272276,-1.2064,-2.17352,0.0650973,0.517614,1.54832,-0.0223778,-1.19011,0.461369,-0.0840079,1.14007,-1.86679,-1.01275,1.76293,-1.05777,-0.981927,0.846274,0.53252
2,45.2501,0.931693,0.621484,3.0,7.0,0.0,-43.0712,0.0095268,0.835743,0.757765,0.108694,0.66336,0.513779,0.240322,-0.258439,1.28484,0.543668,-0.52031,0.27215,0.928675,-1.19996,0.481012,-0.444887,0.307346,-1.20336,-2.15683,0.0658703,0.522304,1.57207,-0.0148985,-1.16874,0.483926,-0.088864,1.14253,-1.85244,-1.01064,1.76582,-1.04197,-0.957975,0.856655,0.560794
3,42.8276,0.647941,0.621484,2.0,3.0,0.0,-41.1249,0.00177599,0.816343,0.807538,0.106754,0.697187,0.545041,0.12963,-0.164475,1.35014,0.492927,-0.605832,0.232812,0.865697,-1.23566,0.51085,-0.420331,0.415924,-1.27726,-2.1817,0.00386159,0.487505,1.64858,-0.045857,-1.15313,0.535035,-0.180945,1.10811,-1.88323,-1.08556,1.7447,-1.05111,-0.926082,0.855463,0.640998
4,44.7613,1.0,0.621484,2.0,3.0,0.0,-42.5199,-0.00894924,0.869403,0.766847,0.151484,0.653156,0.499472,0.262195,-0.318097,1.28506,0.55644,-0.531462,0.272363,0.958003,-1.24932,0.46608,-0.488589,0.261645,-1.24067,-2.2411,0.0665139,0.5293,1.57817,-0.0267924,-1.2334,0.462321,-0.0837394,1.16981,-1.92482,-1.0413,1.80936,-1.09459,-1.02089,0.863952,0.532458
5,45.9661,0.931924,0.621484,3.0,7.0,0.0,-40.707,-0.00734423,0.832049,0.782284,0.132077,0.667079,0.515662,0.182059,-0.234618,1.3048,0.51178,-0.572103,0.243572,0.893719,-1.23466,0.482136,-0.450748,0.340146,-1.25389,-2.19201,0.026844,0.4969,1.59815,-0.0414975,-1.18205,0.493865,-0.141134,1.1205,-1.88849,-1.06059,1.75252,-1.06487,-0.96346,0.846888,0.583168
6,45.0634,0.940741,0.621484,2.0,7.0,0.0,-44.2946,0.00731158,0.867318,0.814522,0.137823,0.709546,0.551793,0.206077,-0.230901,1.37367,0.548858,-0.580154,0.269212,0.947033,-1.27126,0.516876,-0.455184,0.367846,-1.29078,-2.26904,0.043673,0.533137,1.67922,-0.0279643,-1.21714,0.52881,-0.130965,1.18297,-1.95267,-1.08934,1.8414,-1.09468,-0.989566,0.897395,0.621477
7,45.0023,0.976655,0.621484,3.0,7.0,0.0,-43.7543,-0.011982,0.877185,0.812141,0.127467,0.688428,0.529924,0.205919,-0.269418,1.35217,0.541016,-0.590556,0.257306,0.944291,-1.29541,0.494988,-0.483502,0.331343,-1.30853,-2.30257,0.0339493,0.522445,1.6581,-0.043548,-1.24967,0.503368,-0.136854,1.17711,-1.98281,-1.1054,1.83823,-1.12206,-1.02317,0.883693,0.591749
8,45.7046,0.997626,0.621484,3.0,7.0,0.0,-44.3333,0.0250065,0.858993,0.78826,0.127176,0.704961,0.550376,0.248583,-0.237068,1.35014,0.569732,-0.532159,0.291373,0.964988,-1.22596,0.516392,-0.439008,0.348336,-1.2348,-2.21103,0.075517,0.549932,1.64786,-0.00342113,-1.18659,0.522369,-0.0882269,1.18948,-1.89802,-1.03624,1.83399,-1.05935,-0.967009,0.899367,0.605691
9,45.1921,0.899317,0.621484,3.0,7.0,0.0,-43.1117,0.00410091,0.869693,0.809254,0.114785,0.70194,0.544428,0.214274,-0.245395,1.36277,0.550536,-0.574947,0.269556,0.950168,-1.27174,0.509658,-0.462084,0.351903,-1.28705,-2.27097,0.0464564,0.533052,1.66717,-0.0286249,-1.22325,0.519249,-0.124912,1.18302,-1.95387,-1.08544,1.84016,-1.09804,-0.99742,0.893702,0.608732
